month,hour,count
January,12 AM,616
January,1 AM,328
January,2 AM,252
January,3 AM,215
January,4 AM,166
January,5 AM,176
January,6 AM,188
January,7 AM,283
January,8 AM,438
January,9 AM,483
January,10 AM,631
January,11 AM,640
January,12 PM,776
January,1 PM,665
January,2 PM,674
January,3 PM,682
January,4 PM,718
January,5 PM,834
January,6 PM,852
January,7 PM,796
January,8 PM,671
January,9 PM,583
January,10 PM,558
January,11 PM,451
February,12 AM,598
February,1 AM,285
February,2 AM,245
February,3 AM,192
February,4 AM,114
February,5 AM,149
February,6 AM,156
February,7 AM,282
February,8 AM,499
February,9 AM,507
February,10 AM,607
February,11 AM,587
February,12 PM,730
February,1 PM,603
February,2 PM,653
February,3 PM,668
February,4 PM,673
February,5 PM,688
February,6 PM,753
February,7 PM,773
February,8 PM,645
February,9 PM,563
February,10 PM,522
February,11 PM,435
March,12 AM,625
March,1 AM,330
March,2 AM,243
March,3 AM,201
March,4 AM,177
March,5 AM,133
March,6 AM,212
March,7 AM,358
March,8 AM,467
March,9 AM,534
March,10 AM,592
March,11 AM,637
March,12 PM,836
March,1 PM,673
March,2 PM,671
March,3 PM,650
March,4 PM,757
March,5 PM,713
March,6 PM,801
March,7 PM,719
March,8 PM,756
March,9 PM,557
March,10 PM,553
March,11 PM,409
April,12 AM,600
April,1 AM,292
April,2 AM,219
April,3 AM,180
April,4 AM,154
April,5 AM,156
April,6 AM,194
April,7 AM,308
April,8 AM,485
April,9 AM,500
April,10 AM,617
April,11 AM,612
April,12 PM,841
April,1 PM,646
April,2 PM,647
April,3 PM,730
April,4 PM,794
April,5 PM,785
April,6 PM,821
April,7 PM,729
April,8 PM,634
April,9 PM,649
April,10 PM,537
April,11 PM,459
May,12 AM,634
May,1 AM,355
May,2 AM,310
May,3 AM,226
May,4 AM,163
May,5 AM,172
May,6 AM,216
May,7 AM,312
May,8 AM,541
May,9 AM,556
May,10 AM,582
May,11 AM,612
May,12 PM,868
May,1 PM,736
May,2 PM,678
May,3 PM,747
May,4 PM,781
May,5 PM,768
May,6 PM,813
May,7 PM,723
May,8 PM,696
May,9 PM,538
May,10 PM,521
May,11 PM,493
June,12 AM,671
June,1 AM,315
June,2 AM,276
June,3 AM,205
June,4 AM,154
June,5 AM,151
June,6 AM,209
June,7 AM,353
June,8 AM,431
June,9 AM,496
June,10 AM,563
June,11 AM,618
June,12 PM,832
June,1 PM,671
June,2 PM,649
June,3 PM,642
June,4 PM,693
June,5 PM,785
June,6 PM,779
June,7 PM,691
June,8 PM,639
June,9 PM,595
June,10 PM,608
June,11 PM,484
July,12 AM,674
July,1 AM,310
July,2 AM,263
July,3 AM,238
July,4 AM,176
July,5 AM,177
July,6 AM,232
July,7 AM,314
July,8 AM,502
July,9 AM,517
July,10 AM,608
July,11 AM,713
July,12 PM,874
July,1 PM,778
July,2 PM,701
July,3 PM,753
July,4 PM,875
July,5 PM,886
July,6 PM,899
July,7 PM,892
July,8 PM,759
July,9 PM,632
July,10 PM,637
July,11 PM,517
August,12 AM,723
August,1 AM,382
August,2 AM,315
August,3 AM,175
August,4 AM,177
August,5 AM,177
August,6 AM,245
August,7 AM,341
August,8 AM,463
August,9 AM,552
August,10 AM,619
August,11 AM,696
August,12 PM,840
August,1 PM,759
August,2 PM,772
August,3 PM,798
August,4 PM,861
August,5 PM,807
August,6 PM,815
August,7 PM,833
August,8 PM,772
August,9 PM,686
August,10 PM,612
August,11 PM,510
September,12 AM,633
September,1 AM,338
September,2 AM,287
September,3 AM,223
September,4 AM,166
September,5 AM,174
September,6 AM,194
September,7 AM,302
September,8 AM,486
September,9 AM,550
September,10 AM,596
September,11 AM,617
September,12 PM,808
September,1 PM,710
September,2 PM,691
September,3 PM,692
September,4 PM,678
September,5 PM,800
September,6 PM,784
September,7 PM,767
September,8 PM,740
September,9 PM,588
September,10 PM,546
September,11 PM,504
October,12 AM,669
October,1 AM,327
October,2 AM,273
October,3 AM,213
October,4 AM,176
October,5 AM,181
October,6 AM,211
October,7 AM,391
October,8 AM,472
October,9 AM,593
October,10 AM,643
October,11 AM,655
October,12 PM,883
October,1 PM,687
October,2 PM,623
October,3 PM,784
October,4 PM,738
October,5 PM,821
October,6 PM,888
October,7 PM,735
October,8 PM,684
October,9 PM,612
October,10 PM,575
October,11 PM,486
November,12 AM,607
November,1 AM,329
November,2 AM,252
November,3 AM,185
November,4 AM,170
November,5 AM,127
November,6 AM,213
November,7 AM,348
November,8 AM,435
November,9 AM,467
November,10 AM,541
November,11 AM,724
November,12 PM,790
November,1 PM,637
November,2 PM,714
November,3 PM,732
November,4 PM,643
November,5 PM,689
November,6 PM,744
November,7 PM,697
November,8 PM,618
November,9 PM,513
November,10 PM,477
November,11 PM,413
December,12 AM,652
December,1 AM,353
December,2 AM,249
December,3 AM,176
December,4 AM,145
December,5 AM,143
December,6 AM,191
December,7 AM,297
December,8 AM,417
December,9 AM,485
December,10 AM,538
December,11 AM,592
December,12 PM,797
December,1 PM,722
December,2 PM,661
December,3 PM,721
December,4 PM,686
December,5 PM,768
December,6 PM,783
December,7 PM,723
December,8 PM,658
December,9 PM,558
December,10 PM,568
December,11 PM,502
